timestamp,open,high,low,close,volume
2026-08-04T09:15:00+05:30,24684.8,24694.0,24653.4,24660.0,706
2026-08-04T09:16:00+05:30,24660.0,24665.0,24646.1,24660.0,378
2026-08-04T09:17:00+05:30,24657.6,24669.7,24654.0,24662.0,300
2026-08-04T09:18:00+05:30,24656.0,24670.0,24652.5,24659.0,214
2026-08-04T09:19:00+05:30,24658.9,24668.0,24652.5,24665.0,350
2026-08-04T09:20:00+05:30,24653.6,24680.0,24652.1,24679.5,356
2026-08-04T09:21:00+05:30,24670.1,24680.0,24669.0,24677.6,221
2026-08-04T09:22:00+05:30,24675.3,24680.0,24670.0,24680.0,153
2026-08-04T09:23:00+05:30,24679.9,24684.0,24679.9,24683.0,140
2026-08-04T09:24:00+05:30,24681.1,24684.0,24670.6,24671.8,113
2026-08-04T09:25:00+05:30,24676.0,24680.0,24671.8,24671.8,116
2026-08-04T09:26:00+05:30,24672.0,24672.5,24660.0,24660.0,256
2026-08-04T09:27:00+05:30,24661.1,24667.0,24660.0,24660.0,63
2026-08-04T09:28:00+05:30,24660.0,24662.6,24657.1,24659.0,243
2026-08-04T09:29:00+05:30,24659.0,24659.0,24652.0,24655.0,120
2026-08-04T09:30:00+05:30,24659.0,24659.0,24655.0,24655.0,88
2026-08-04T09:31:00+05:30,24655.0,24665.0,24655.0,24658.0,160
2026-08-04T09:32:00+05:30,24658.0,24659.1,24650.0,24650.0,165
2026-08-04T09:33:00+05:30,24650.0,24650.0,24640.0,24649.0,160
2026-08-04T09:34:00+05:30,24645.0,24649.9,24640.1,24640.4,124
2026-08-04T09:35:00+05:30,24640.3,24648.0,24640.0,24644.0,126
2026-08-04T09:36:00+05:30,24643.1,24650.9,24641.0,24650.9,237
2026-08-04T09:37:00+05:30,24650.0,24653.0,24645.2,24652.0,127
2026-08-04T09:38:00+05:30,24652.0,24658.5,24652.0,24657.1,86
2026-08-04T09:39:00+05:30,24657.1,24662.2,24657.1,24661.9,100
2026-08-04T09:40:00+05:30,24662.2,24671.0,24662.2,24667.4,113
2026-08-04T09:41:00+05:30,24670.0,24680.0,24667.0,24670.5,1328
2026-08-04T09:42:00+05:30,24670.3,24672.0,24670.0,24671.0,78
2026-08-04T09:43:00+05:30,24672.6,24687.5,24670.0,24684.6,917
2026-08-04T09:44:00+05:30,24684.5,24686.6,24672.0,24678.0,113
2026-08-04T09:45:00+05:30,24678.0,24682.9,24678.0,24681.9,59
2026-08-04T09:46:00+05:30,24680.5,24682.6,24678.1,24682.6,108
2026-08-04T09:47:00+05:30,24682.9,24688.0,24681.8,24687.1,136
2026-08-04T09:48:00+05:30,24681.9,24693.7,24681.9,24690.0,207
2026-08-04T09:49:00+05:30,24690.0,24692.6,24686.1,24690.2,174
2026-08-04T09:50:00+05:30,24690.1,24691.8,24688.6,24690.3,130
2026-08-04T09:51:00+05:30,24690.0,24695.0,24688.0,24694.9,172
2026-08-04T09:52:00+05:30,24695.0,24696.7,24691.0,24692.0,203
2026-08-04T09:53:00+05:30,24693.0,24694.2,24690.0,24690.0,85
